rep,gen,indType,indNum,quality,fitness,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0,Sender,0,1,0,-0.0129768,-0.094773,-0.0851234,-0.651018,-0.52571,-0.910309,-0.763194,-0.445088,-0.895263,0.988216,0.617007,0.607612,0.244085,-0.536163,0.666111,0.63908,0.184016,-0.149135,0.909176,-0.265584,-0.27298,-0.537315,0.102481,-0.0259247,0.212103,0.0633034,-0.0179738,-0.521869,-0.244898,0.875883,-0.956041,-0.156208,0.487988,-0.919343,0.320251,-0.509755,0.29356,-0.719001,0.58432
1,0,Sender,1,1,0,-0.0190408,-0.0241905,-0.090162,-0.652458,-0.517489,-0.910309,-0.763194,-0.425821,-0.899721,0.988216,0.617007,0.607612,0.244085,-0.536163,0.668828,0.63908,0.177019,-0.149135,0.90726,-0.306989,-0.121347,-0.544846,0.102481,-0.0306867,0.192599,0.0633034,-0.0179738,-0.499484,-0.240623,0.875883,-0.883824,-0.156208,0.487988,-0.919343,0.320251,-0.500103,0.29356,-0.719001,0.58432
1,0,Sender,2,1,0,-0.0129768,-0.022635,-0.0851234,-0.651018,-0.534309,-0.910309,-0.763194,-0.425821,-0.893177,0.988216,0.617007,0.607612,0.231309,-0.536163,0.666111,0.63908,0.191493,-0.158442,0.919904,-0.313389,-0.27298,-0.537315,0.102481,-0.0259247,0.195455,0.0633034,-0.0179738,-0.525228,-0.244898,0.875883,-0.906476,-0.156208,0.496827,-0.919343,0.320251,-0.509755,0.29356,-0.719001,0.586278
1,0,Sender,3,1,0,0.00650859,-0.022635,-0.0931088,-0.651018,-0.52571,-0.910309,-0.763194,-0.425821,-0.895263,0.988216,0.617007,0.608251,0.26746,-0.536163,0.666111,0.63908,0.184016,-0.149135,0.909176,-0.265584,-0.27298,-0.537315,0.102481,-0.0259247,0.212103,0.0633034,-0.0179738,-0.499484,-0.244898,0.875883,-0.7779,-0.156208,0.487988,-0.914259,0.196804,-0.509755,0.29356,-0.719001,0.58432
1,0,Sender,4,1,0,0.005759,-0.022635,-0.0851234,-0.649924,-0.502132,-0.910309,-0.763194,-0.441431,-0.895263,0.996214,0.617007,0.607612,0.244085,-0.536163,0.684024,0.63908,0.184016,-0.120192,0.909176,-0.306989,-0.27298,-0.537315,0.102583,-0.0259247,0.212103,0.0633034,0.112429,-0.499484,-0.244898,0.875883,-0.883824,-0.156208,0.487988,-0.919343,0.320251,-0.509755,0.29356,-0.719001,0.58432
1,0,Sender,5,1,0,-0.0129768,-0.0252293,-0.0851234,-0.658295,-0.502132,-0.902133,-0.763194,-0.425821,-0.895263,0.989849,0.62421,0.607612,0.244085,-0.536163,0.666111,0.63908,0.184016,-0.149135,0.909176,-0.306989,-0.27298,-0.53773,0.102481,-0.0259247,0.212103,0.0633034,0.111208,-0.499484,-0.244898,0.910932,-0.883824,-0.156208,0.487988,-0.94592,0.320251,-0.509755,0.29356,-0.716896,0.734745
1,0,Sender,6,1,0,-0.0295379,-0.0237727,-0.0725712,-0.652205,-0.534358,-0.910309,-0.763194,-0.425821,-0.895263,0.988216,0.616345,0.607612,0.244085,-0.536163,0.666111,0.697684,0.190818,-0.149135,0.909176,-0.306989,-0.27298,-0.537315,0.0905517,-0.0259247,0.220628,0.0633034,-0.0179738,-0.499484,-0.233417,0.875883,-0.90504,-0.156208,0.502722,-0.919343,0.320251,-0.509755,0.285198,-0.719001,0.58432
1,0,Sender,7,1,0,-0.0129768,-0.0326903,-0.0827561,-0.651018,-0.52571,-0.910309,-0.763194,-0.425821,-0.895263,0.988216,0.617007,0.607612,0.244085,-0.525789,0.666111,0.63908,0.184016,-0.149135,0.909176,-0.299583,-0.279579,-0.537315,0.102481,-0.0259247,0.237287,0.0633034,0.112429,-0.499484,-0.257082,0.875883,-0.891638,-0.156208,0.487988,-0.919343,0.320251,-0.495715,0.29356,-0.719001,0.577565
1,0,Sender,8,1,0,-0.0129768,-0.022635,-0.0851234,-0.651018,-0.52571,-0.910309,-0.763194,-0.425821,-0.911072,0.988216,0.617007,0.626433,0.258085,-0.536163,0.666111,0.642158,0.191493,-0.149135,0.96495,-0.279968,-0.27298,-0.537315,0.102481,-0.044658,0.212103,0.0633034,-0.00894569,-0.499484,-0.244898,0.875883,-0.882697,-0.156208,0.478372,-0.919343,0.320251,-0.509755,0.29356,-0.719001,0.590966
1,0,Sender,9,1,0,-0.0129768,-0.022635,-0.0851234,-0.651018,-0.502132,-0.910309,-0.763194,-0.425821,-0.895263,0.989849,0.62421,0.607612,0.244085,-0.536163,0.666326,0.63908,0.184016,-0.149135,0.900262,-0.306989,-0.27298,-0.53773,0.102481,-0.0259247,0.212103,0.0633034,0.111208,-0.439934,-0.244898,0.910932,-0.883824,-0.156208,0.497887,-0.94592,0.320251,-0.509755,0.29356,-0.716896,0.58432
