rep,gen,indType,indNum,quality,fitness,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0,Sender,0,1,0,-0.689889,-0.476679,0.120223,0.551754,0.250591,-0.414264,-0.276139,-0.0142759,-0.270076,1.22404,-0.728793,-0.398476,-0.380755,-0.744582,1.01392,0.482904,0.914712,0.146366,0.484392,-0.08507,1.03755,-23.5208,-0.924206,0.781166,-0.0738284,-0.325641,-0.507119,-0.123489,1.48869,-0.433111,2.76955,0.512606,-0.562744,-0.299442,-0.184764,1.05327,-0.489168,-0.255163,0.193587
1,0,Sender,1,1,0,-0.711699,-0.414954,0.131287,0.57825,0.328104,-0.654683,-0.199043,-0.00567659,-0.280036,2.50672,-0.735561,-0.398476,-0.423621,-0.741276,0.919072,0.485219,1.41693,0.169482,0.572742,-0.0566553,1.03451,-23.5303,-0.924294,0.71029,-0.119531,-0.428358,-0.535204,-0.149521,1.52353,-0.217252,2.75201,0.411404,-0.544619,-0.782709,-0.261223,1.01852,-0.501868,-0.280632,0.125047
1,0,Sender,2,1,0,-0.710758,-0.476679,0.120223,0.556838,0.250591,-0.414264,-0.276139,-0.0142759,-0.282335,1.22404,-0.728793,-0.431331,-0.403743,-0.73557,1.03975,0.50958,0.904009,0.157115,0.484392,-0.08507,1.03755,-23.5208,-0.960061,0.813959,-0.0984957,-0.325641,-0.507119,-0.123489,1.48869,-0.431572,2.76955,0.505726,-0.562744,-0.260091,-0.184764,1.05327,-0.499853,-0.255163,0.193587
1,0,Sender,3,1,0,-0.720356,-0.451866,0.109079,0.575347,0.247609,-0.415686,-0.226274,-0.0278339,-0.301175,1.21278,-0.726914,-0.398476,-0.409701,-0.73557,1.01392,0.476834,0.944974,0.159901,0.49563,-0.0610133,1.03755,-23.5208,-0.916908,0.781166,-0.116886,-0.325641,-0.507119,-0.0568001,1.48869,-0.437042,2.69176,0.512606,-0.572714,-0.281099,-0.20038,1.05327,-0.504431,-0.253558,0.218258
1,0,Sender,4,1,0,-0.710758,-0.470052,0.109223,0.556838,0.278424,-0.43511,-0.226274,-0.0142759,-0.298319,1.25236,-0.728793,-0.398476,-0.390176,-0.73557,1.01392,0.482904,0.938818,0.157115,0.49563,-0.0610133,1.03755,-23.4981,-0.928548,0.781166,-0.113084,-0.321302,-0.473437,-0.0923209,1.48869,-0.431572,2.76562,0.512606,-0.572714,-0.281992,-0.194466,1.05327,-0.500076,-0.235196,0.168234
1,0,Sender,5,1,0,-0.710758,-0.476679,0.120223,0.556838,0.250591,-0.414264,-0.276139,-0.011286,-0.282335,1.22404,-0.701424,-0.398476,-0.403293,-0.73557,1.01392,0.50958,0.906998,0.157115,0.484392,-0.08507,1.03755,-23.5208,-0.960061,0.781166,-0.0984957,-0.325641,-0.507119,-0.123489,1.48651,-0.431572,2.76955,0.512606,-0.558434,-0.331482,-0.184764,1.04457,-0.478461,-0.255163,0.193587
1,0,Sender,6,1,0,-0.710758,-0.476679,0.108247,0.556838,0.250591,-0.414264,-0.276139,-0.011286,-0.282335,1.22404,-0.701424,-0.398476,-0.403293,-0.73557,1.01392,0.50958,0.906998,0.157115,0.484392,-0.08507,1.03755,-23.5208,-0.960061,0.781166,-0.0984957,-0.325641,-0.507119,-0.123489,1.48651,-0.431572,2.76955,0.512606,-0.558434,-0.331482,-0.184764,1.04457,-0.478461,-0.255163,0.193587
1,0,Sender,7,1,0,-0.710758,-0.470052,0.109223,0.556838,0.278424,-0.401466,-0.226274,-0.0142759,-0.298319,1.25236,-0.728793,-0.398476,-0.390176,-0.73557,1.01392,0.482904,0.938818,0.147917,0.49563,-0.0610133,1.03755,-23.4981,-0.928548,0.781166,-0.113084,-0.325641,-0.473437,-0.0923209,1.48869,-0.431572,2.76562,0.512606,-0.572714,-0.246572,-0.194466,1.05327,-0.500076,-0.235196,0.168234
1,0,Sender,8,1,0,-0.710758,-0.474744,0.109079,0.558855,0.25836,-0.415686,-0.212763,-0.0278339,-0.303135,1.21278,-0.741834,-0.398476,-0.411942,-0.73557,1.01392,0.463961,0.938818,0.159901,0.49563,-0.0610133,1.03755,-23.5208,-0.928548,0.781166,-0.113084,-0.325641,-0.613523,-0.0989233,1.48869,-0.42337,2.77951,0.512606,-0.572714,-0.281099,-0.184764,1.05327,-0.504373,-0.253558,0.218258
1,0,Sender,9,1,0,-0.720356,-0.465363,0.109079,0.575347,0.247609,-0.415686,-0.226274,-0.0278339,-0.301175,1.21278,-0.726914,-0.398476,-0.411942,-0.73557,1.01392,0.476834,0.944974,0.159901,0.49563,-0.0610133,1.05368,-23.5208,-0.904502,0.781166,-0.116886,-0.325641,-0.507119,-0.0568001,1.48869,-0.437042,2.69176,0.512606,-0.572714,-0.281099,-0.182504,1.05327,-0.504431,-0.253558,0.218258
