"X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
-6.34302,-0.0575213,0.380563,-99.578,-99.0624,-3.49525,1.48496,-0.5029,-95.8379,77.2848,-2.0168,21.3039,94.6944,6.65933,-6.9845,-71.9072,3.2912,-2.01741,2.15716,1.49882,-46.8819,-55.1261,15.6865,97.6697,21.7362,-25.3945,-21.5056,31.2452,99.7891,56.7927,-89.5518,10.9149,11.044,99.2275,41.3283,-63.3976,-26.5559,42.7298,-98.938
-6.34208,-0.0667458,0.401419,-99.5928,-99.0621,-3.42884,1.48496,-0.326718,-95.8656,77.3858,-2.01489,21.3237,94.867,6.63941,-7.1603,-71.9075,3.26343,-2.05407,2.25637,1.53035,-46.8187,-55.0502,15.7011,97.6639,21.6362,-25.4006,-21.1913,31.2443,99.6911,56.7879,-89.632,13.3622,11.0558,99.2376,41.3307,-63.4088,-26.1672,42.5933,-98.8328
-6.30766,-0.0601885,0.401475,-99.5725,-99.209,-3.47338,1.47953,-0.400055,-95.8341,77.2958,-1.84092,21.3594,94.6234,6.88514,-6.99802,-71.8886,3.23124,-1.99824,2.22173,1.35029,-46.8652,-55.14,16.2191,97.6377,21.7739,-25.863,-21.5403,31.245,99.8333,56.7852,-89.5479,13.3088,10.9843,99.1914,41.3758,-63.4377,-26.2336,42.5,-98.775
-6.24844,-0.0639345,0.353389,-90.3763,-99.2561,-3.43871,1.53394,-4.23275,-95.9504,77.2908,-0.378541,21.2687,88.5109,7.18023,-7.01736,-78.5226,3.28459,-2.44998,2.21649,1.27679,-46.5517,-54.4241,16.0618,98.9942,21.729,-25.6488,-22.2266,31.4347,99.7158,57.2702,-89.8044,13.3307,11.1972,99.7183,42.0363,-63.3287,-25.7394,42.7976,-98.9615
-6.32443,-0.0601885,0.401475,-99.5692,-99.1252,-3.47338,1.47732,-0.400055,-95.8341,77.2958,-1.9513,21.3594,94.6234,6.83091,-7.00786,-71.8886,3.23901,-1.94893,2.22173,1.35029,-46.935,-55.14,15.8806,97.6417,21.7755,-25.863,-21.5403,31.2557,99.8333,56.7852,-89.5113,13.3572,10.9843,98.6157,41.3536,-63.4377,-26.2538,42.5621,-98.779
-6.30766,-0.0601885,0.401475,-99.6218,-99.228,-3.47338,1.47701,-0.389145,-95.8341,77.2958,-1.84092,21.3838,94.5928,6.88173,-6.98006,-71.8886,3.23096,-1.99824,2.22105,1.32685,-46.8681,-55.14,15.8987,97.6018,21.7794,-25.863,-21.5403,31.2365,99.8436,56.8163,-89.5448,13.3641,10.9843,99.2659,41.3536,-63.4377,-26.2336,42.5621,-98.7742
-6.31482,-0.0557022,0.401475,-99.5692,-99.1252,-3.47338,1.47732,-0.400055,-95.8293,77.2935,-1.97972,21.3594,94.6234,6.92742,-7.00742,-71.8886,3.23096,-1.94893,2.21721,1.3524,-46.935,-55.14,15.8806,97.6417,21.7755,-25.863,-21.5403,31.2557,99.8333,56.7549,-89.5113,13.3572,10.9843,98.6157,41.3547,-63.4377,-26.2538,42.5621,-98.779
-6.30206,-0.0485597,0.29653,-98.8969,-100,-3.50495,1.53572,-0.453932,-95.6717,75.5496,-1.78519,21.2427,94.4952,6.51364,-6.94711,-71.9306,3.31208,-2.00109,2.20946,1.15284,-46.8354,-55.2598,15.7431,97.6528,21.4393,-25.7796,-21.2737,31.3937,99.8091,56.7828,-89.4959,13.4373,11.015,99.2614,41.3309,-62.7136,-26.139,42.5641,-98.5759
-6.30206,-0.0767881,0.29653,-98.8954,-99.166,-3.50495,1.51229,-0.294846,-95.6717,75.5427,-1.78519,21.2234,94.1737,6.53183,-6.94711,-71.9281,3.24492,-1.994,2.19227,1.13079,-46.8067,-55.2598,15.7431,97.6711,21.4455,-25.7796,-21.2818,31.5493,99.8127,56.7828,-89.4959,13.4307,11.0184,99.2614,41.3309,-62.5824,-26.1437,42.571,-98.5759
-6.31567,-0.0601885,0.401475,-99.6641,-99.0561,-3.46732,1.47732,-0.400055,-95.8341,77.2958,-1.97972,21.3594,94.6494,6.88085,-6.99802,-71.8871,3.23096,-1.94893,1.71835,1.35029,-46.8652,-55.14,15.9288,97.6417,21.7739,-25.8611,-21.5269,31.2557,99.8495,56.7852,-89.5355,13.3586,10.9854,99.2517,41.4739,-63.4377,-26.2336,42.5621,-98.775
